name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
DRIFT,DRIFT,0.076136,178.20298314,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-entry
LS1_CB09:SOL3_D1785,SOLCOR,0.5,178.49105114,0.04,0.04,CB09,SOL_S2,LS1,D1785,SOL3,solenoid+correctors
LS1_CB09:DCH_D1785,HCOR,0.0,178.49105114,0.04,0.04,CB09,S2,LS1,D1785,DCH,horiz. corrector magnet
LS1_CB09:DCV_D1785,VCOR,0.0,178.49105114,0.04,0.04,CB09,S2,LS1,D1785,DCV,vert. corrector magnet
DRIFT,DRIFT,0.076136,178.77911914,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-exit
DRIFT,DRIFT,0.0986025,178.86603114,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB09:CAV8_D1791,CAV,0.3,179.06578964,0.034,0.034,CB09,CAV_B08,LS1,D1791,CAV8,b08 resonator
DRIFT,DRIFT,0.1899075,179.31120064,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellows
LS1_CB09:GV_D1794,VALVE,0.057404,179.43439914,0.04,0.04,CB09,NONE,LS1,NONE,GV,gate valve
DRIFT,DRIFT,0.103502,179.51485214,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_WB09:BPM_D1796,BPM,0.0,179.56660314,0.04,0.04,WB09,BPM2,LS1,D1796,BPM,position monitor
DRIFT,DRIFT,0.145282,179.63924414,0.04,0.04,NONE,NONE,NONE,NONE,NONE,diagnostic box
LS1_WB09:PORT_D1797,PORT,0.0,179.71188514,0.04,0.04,WB09,,LS1,NONE,PORT,port for future diagnostics
DRIFT,DRIFT,0.0,179.71188514,0.04,0.04,NONE,NONE,NONE,NONE,NONE,diagnostic box
LS1_WB09:IP_D1797,PORT,0.0,179.71188514,0.04,0.04,WB09,IP_S,LS1,NONE,IP,"ion pump, 75 l/s"
DRIFT,DRIFT,0.131216,179.77749314,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:GV_D1799,VALVE,0.057404,179.87180314,0.04,0.04,CB10,NONE,LS1,NONE,GV,gate valve
DRIFT,DRIFT,0.1899075,179.99500164,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellows
LS1_CB10:CAV1_D1802,CAV,0.3,180.24041264,0.034,0.034,CB10,CAV_B08,LS1,D1802,CAV1,b08 resonator
LS1_CB10:BLM_D1804,BLM,0.0,180.38949814,0.034,0.034,CB10,NONE,LS1,NONE,BLM,outside loss monitor
DRIFT,DRIFT,0.09559534,180.43866756,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:BPM_D1805,BPM,0.0,180.48600798,0.04,0.04,CB10,BPM6,LS1,D1805,BPM,"position monitor, BPMc"
DRIFT,DRIFT,0.05588,180.51394798,0.04,0.04,NONE,NONE,NONE,NONE,NONE,BPM-box
DRIFT,DRIFT,0.076136,180.57995598,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-entry
LS1_CB10:SOL1_D1809,SOLCOR,0.5,180.86802398,0.04,0.04,CB10,SOL_S2,LS1,D1809,SOL1,solenoid+correctors
LS1_CB10:DCH_D1809,HCOR,0.0,180.86802398,0.04,0.04,CB10,S2,LS1,D1809,DCH,horiz. corrector magnet
LS1_CB10:DCV_D1809,VCOR,0.0,180.86802398,0.04,0.04,CB10,S2,LS1,D1809,DCV,vert. corrector magnet
