s,name,pv_x,pv_y,pv_pha,pv_mag,pv_x_ref,pv_y_ref,pv_pha_ref,pv_mag_ref,pv_dx_ref,pv_dy_ref,pv_dpha_ref,pv_mag_ratio
119.644463,LS1_CA03:BPM_D1196,LS1_CA03:BPM_D1196:XPOS_RD,LS1_CA03:BPM_D1196:YPOS_RD,LS1_CA03:BPM_D1196:PHASE_RD,LS1_CA03:BPM_D1196:MAG_RD,LS1_CA03:BPM_D1196:XPOS_REF_RD,LS1_CA03:BPM_D1196:YPOS_REF_RD,LS1_CA03:BPM_D1196:PHASE_REF_RD,LS1_CA03:BPM_D1196:MAG_REF_RD,LS1_CA03:BPM_D1196:XPOS_DRDREF,LS1_CA03:BPM_D1196:YPOS_DRDREF,LS1_CA03:BPM_D1196:PHASE_DRDREF,LS1_CA03:BPM_D1196:MAG_RATIO
121.119702,LS1_CA03:BPM_D1211,LS1_CA03:BPM_D1211:XPOS_RD,LS1_CA03:BPM_D1211:YPOS_RD,LS1_CA03:BPM_D1211:PHASE_RD,LS1_CA03:BPM_D1211:MAG_RD,LS1_CA03:BPM_D1211:XPOS_REF_RD,LS1_CA03:BPM_D1211:YPOS_REF_RD,LS1_CA03:BPM_D1211:PHASE_REF_RD,LS1_CA03:BPM_D1211:MAG_REF_RD,LS1_CA03:BPM_D1211:XPOS_DRDREF,LS1_CA03:BPM_D1211:YPOS_DRDREF,LS1_CA03:BPM_D1211:PHASE_DRDREF,LS1_CA03:BPM_D1211:MAG_RATIO
122.214782,LS1_WA03:BPM_D1222,LS1_WA03:BPM_D1222:XPOS_RD,LS1_WA03:BPM_D1222:YPOS_RD,LS1_WA03:BPM_D1222:PHASE_RD,LS1_WA03:BPM_D1222:MAG_RD,LS1_WA03:BPM_D1222:XPOS_REF_RD,LS1_WA03:BPM_D1222:YPOS_REF_RD,LS1_WA03:BPM_D1222:PHASE_REF_RD,LS1_WA03:BPM_D1222:MAG_REF_RD,LS1_WA03:BPM_D1222:XPOS_DRDREF,LS1_WA03:BPM_D1222:YPOS_DRDREF,LS1_WA03:BPM_D1222:PHASE_DRDREF,LS1_WA03:BPM_D1222:MAG_RATIO
123.134187,LS1_CB01:BPM_D1231,LS1_CB01:BPM_D1231:XPOS_RD,LS1_CB01:BPM_D1231:YPOS_RD,LS1_CB01:BPM_D1231:PHASE_RD,LS1_CB01:BPM_D1231:MAG_RD,LS1_CB01:BPM_D1231:XPOS_REF_RD,LS1_CB01:BPM_D1231:YPOS_REF_RD,LS1_CB01:BPM_D1231:PHASE_REF_RD,LS1_CB01:BPM_D1231:MAG_REF_RD,LS1_CB01:BPM_D1231:XPOS_DRDREF,LS1_CB01:BPM_D1231:YPOS_DRDREF,LS1_CB01:BPM_D1231:PHASE_DRDREF,LS1_CB01:BPM_D1231:MAG_RATIO
125.131913,LS1_CB01:BPM_D1251,LS1_CB01:BPM_D1251:XPOS_RD,LS1_CB01:BPM_D1251:YPOS_RD,LS1_CB01:BPM_D1251:PHASE_RD,LS1_CB01:BPM_D1251:MAG_RD,LS1_CB01:BPM_D1251:XPOS_REF_RD,LS1_CB01:BPM_D1251:YPOS_REF_RD,LS1_CB01:BPM_D1251:PHASE_REF_RD,LS1_CB01:BPM_D1251:MAG_REF_RD,LS1_CB01:BPM_D1251:XPOS_DRDREF,LS1_CB01:BPM_D1251:YPOS_DRDREF,LS1_CB01:BPM_D1251:PHASE_DRDREF,LS1_CB01:BPM_D1251:MAG_RATIO
127.129639,LS1_CB01:BPM_D1271,LS1_CB01:BPM_D1271:XPOS_RD,LS1_CB01:BPM_D1271:YPOS_RD,LS1_CB01:BPM_D1271:PHASE_RD,LS1_CB01:BPM_D1271:MAG_RD,LS1_CB01:BPM_D1271:XPOS_REF_RD,LS1_CB01:BPM_D1271:YPOS_REF_RD,LS1_CB01:BPM_D1271:PHASE_REF_RD,LS1_CB01:BPM_D1271:MAG_REF_RD,LS1_CB01:BPM_D1271:XPOS_DRDREF,LS1_CB01:BPM_D1271:YPOS_DRDREF,LS1_CB01:BPM_D1271:PHASE_DRDREF,LS1_CB01:BPM_D1271:MAG_RATIO
128.587207,LS1_WB01:BPM_D1286,LS1_WB01:BPM_D1286:XPOS_RD,LS1_WB01:BPM_D1286:YPOS_RD,LS1_WB01:BPM_D1286:PHASE_RD,LS1_WB01:BPM_D1286:MAG_RD,LS1_WB01:BPM_D1286:XPOS_REF_RD,LS1_WB01:BPM_D1286:YPOS_REF_RD,LS1_WB01:BPM_D1286:PHASE_REF_RD,LS1_WB01:BPM_D1286:MAG_REF_RD,LS1_WB01:BPM_D1286:XPOS_DRDREF,LS1_WB01:BPM_D1286:YPOS_DRDREF,LS1_WB01:BPM_D1286:PHASE_DRDREF,LS1_WB01:BPM_D1286:MAG_RATIO
129.506612,LS1_CB02:BPM_D1295,LS1_CB02:BPM_D1295:XPOS_RD,LS1_CB02:BPM_D1295:YPOS_RD,LS1_CB02:BPM_D1295:PHASE_RD,LS1_CB02:BPM_D1295:MAG_RD,LS1_CB02:BPM_D1295:XPOS_REF_RD,LS1_CB02:BPM_D1295:YPOS_REF_RD,LS1_CB02:BPM_D1295:PHASE_REF_RD,LS1_CB02:BPM_D1295:MAG_REF_RD,LS1_CB02:BPM_D1295:XPOS_DRDREF,LS1_CB02:BPM_D1295:YPOS_DRDREF,LS1_CB02:BPM_D1295:PHASE_DRDREF,LS1_CB02:BPM_D1295:MAG_RATIO
131.504338,LS1_CB02:BPM_D1315,LS1_CB02:BPM_D1315:XPOS_RD,LS1_CB02:BPM_D1315:YPOS_RD,LS1_CB02:BPM_D1315:PHASE_RD,LS1_CB02:BPM_D1315:MAG_RD,LS1_CB02:BPM_D1315:XPOS_REF_RD,LS1_CB02:BPM_D1315:YPOS_REF_RD,LS1_CB02:BPM_D1315:PHASE_REF_RD,LS1_CB02:BPM_D1315:MAG_REF_RD,LS1_CB02:BPM_D1315:XPOS_DRDREF,LS1_CB02:BPM_D1315:YPOS_DRDREF,LS1_CB02:BPM_D1315:PHASE_DRDREF,LS1_CB02:BPM_D1315:MAG_RATIO
133.502063,LS1_CB02:BPM_D1335,LS1_CB02:BPM_D1335:XPOS_RD,LS1_CB02:BPM_D1335:YPOS_RD,LS1_CB02:BPM_D1335:PHASE_RD,LS1_CB02:BPM_D1335:MAG_RD,LS1_CB02:BPM_D1335:XPOS_REF_RD,LS1_CB02:BPM_D1335:YPOS_REF_RD,LS1_CB02:BPM_D1335:PHASE_REF_RD,LS1_CB02:BPM_D1335:MAG_REF_RD,LS1_CB02:BPM_D1335:XPOS_DRDREF,LS1_CB02:BPM_D1335:YPOS_DRDREF,LS1_CB02:BPM_D1335:PHASE_DRDREF,LS1_CB02:BPM_D1335:MAG_RATIO
