PV,elemIndex,elemPosition,elemLength,machine,elemName,elemHandle,elemField,elemType
V_1:LS1_CA01:CAV1_D1127:PHA_CSET,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,setpoint,PHA,CAV
V_1:LS1_CA01:CAV1_D1127:PHA_RSET,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,readset,PHA,CAV
V_1:LS1_CA01:CAV1_D1127:PHA_RD,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,readback,PHA,CAV
V_1:LS1_CA01:CAV1_D1127:AMPL_CSET,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,setpoint,AMP,CAV
V_1:LS1_CA01:CAV1_D1127:AMPL_RSET,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,readset,AMP,CAV
V_1:LS1_CA01:CAV1_D1127:AMPL_RD,3,0.4470635,0.24,V_1,LS1_CA01:CAV1_D1127,readback,AMP,CAV
V_1:LS1_CA01:BPM_D1129:X_RD,5,0.51132684,0.0,V_1,LS1_CA01:BPM_D1129,readback,X,BPM
V_1:LS1_CA01:BPM_D1129:Y_RD,5,0.51132684,0.0,V_1,LS1_CA01:BPM_D1129,readback,Y,BPM
V_1:LS1_CA01:BPM_D1129:PHA_RD,5,0.51132684,0.0,V_1,LS1_CA01:BPM_D1129,readback,PHA,BPM
V_1:LS1_CA01:BPM_D1129:ENG_RD,5,0.51132684,0.0,V_1,LS1_CA01:BPM_D1129,readback,ENG,BPM
V_1:LS1_CA01:SOL1_D1131:B_CSET,8,0.74333034,0.1,V_1,LS1_CA01:SOL1_D1131,setpoint,B,SOL
V_1:LS1_CA01:SOL1_D1131:B_RSET,8,0.74333034,0.1,V_1,LS1_CA01:SOL1_D1131,readset,B,SOL
V_1:LS1_CA01:SOL1_D1131:B_RD,8,0.74333034,0.1,V_1,LS1_CA01:SOL1_D1131,readback,B,SOL
V_1:LS1_CA01:DCH_D1131:ANG_CSET,9,0.74333034,0.0,V_1,LS1_CA01:DCH_D1131,setpoint,ANG,HCOR
V_1:LS1_CA01:DCH_D1131:ANG_RSET,9,0.74333034,0.0,V_1,LS1_CA01:DCH_D1131,readset,ANG,HCOR
V_1:LS1_CA01:DCH_D1131:ANG_RD,9,0.74333034,0.0,V_1,LS1_CA01:DCH_D1131,readback,ANG,HCOR
V_1:LS1_CA01:DCV_D1131:ANG_CSET,10,0.74333034,0.0,V_1,LS1_CA01:DCV_D1131,setpoint,ANG,VCOR
V_1:LS1_CA01:DCV_D1131:ANG_RSET,10,0.74333034,0.0,V_1,LS1_CA01:DCV_D1131,readset,ANG,VCOR
V_1:LS1_CA01:DCV_D1131:ANG_RD,10,0.74333034,0.0,V_1,LS1_CA01:DCV_D1131,readback,ANG,VCOR
V_1:LS1_CA01:SOL1_D1131:B_CSET,11,0.84333034,0.1,V_1,LS1_CA01:SOL1_D1131,setpoint,B,SOL
V_1:LS1_CA01:SOL1_D1131:B_RSET,11,0.84333034,0.1,V_1,LS1_CA01:SOL1_D1131,readset,B,SOL
V_1:LS1_CA01:SOL1_D1131:B_RD,11,0.84333034,0.1,V_1,LS1_CA01:SOL1_D1131,readback,B,SOL
V_1:LS1_CA01:CAV2_D1135:PHA_CSET,14,1.22672434,0.24,V_1,LS1_CA01:CAV2_D1135,setpoint,PHA,CAV
V_1:LS1_CA01:CAV2_D1135:PHA_RSET,14,1.22672434,0.24,V_1,LS1_CA01:CAV2_D1135,readset,PHA,CAV
V_1:LS1_CA01:CAV2_D1135:PHA_RD,14,1.22672434,0.24,V_1,LS1_CA01:CAV2_D1135,readback,PHA,CAV
V_1:LS1_CA01:CAV2_D1135:AMPL_CSET,14,1.22672434,0.24,V_1,LS1_CA01:CAV2_D1135,setpoint,AMP,CAV
V_1:LS1_CA01:CAV2_D1135:AMPL_RSET,14,1.22672434,0.24,V_1,LS1_CA01:CAV2_D1135,readset,AMP,CAV
V_1:LS1_CA01:CAV2_D1135:AMPL_RD,14,1.22672434,0.24,V_1,LS1_CA01:CAV2_D1135,readback,AMP,CAV
V_1:LS1_CA01:CAV3_D1143:PHA_CSET,16,2.00637034,0.24,V_1,LS1_CA01:CAV3_D1143,setpoint,PHA,CAV
V_1:LS1_CA01:CAV3_D1143:PHA_RSET,16,2.00637034,0.24,V_1,LS1_CA01:CAV3_D1143,readset,PHA,CAV
V_1:LS1_CA01:CAV3_D1143:PHA_RD,16,2.00637034,0.24,V_1,LS1_CA01:CAV3_D1143,readback,PHA,CAV
V_1:LS1_CA01:CAV3_D1143:AMPL_CSET,16,2.00637034,0.24,V_1,LS1_CA01:CAV3_D1143,setpoint,AMP,CAV
V_1:LS1_CA01:CAV3_D1143:AMPL_RSET,16,2.00637034,0.24,V_1,LS1_CA01:CAV3_D1143,readset,AMP,CAV
V_1:LS1_CA01:CAV3_D1143:AMPL_RD,16,2.00637034,0.24,V_1,LS1_CA01:CAV3_D1143,readback,AMP,CAV
V_1:LS1_CA01:BPM_D1144:X_RD,18,2.07063368,0.0,V_1,LS1_CA01:BPM_D1144,readback,X,BPM
V_1:LS1_CA01:BPM_D1144:Y_RD,18,2.07063368,0.0,V_1,LS1_CA01:BPM_D1144,readback,Y,BPM
V_1:LS1_CA01:BPM_D1144:PHA_RD,18,2.07063368,0.0,V_1,LS1_CA01:BPM_D1144,readback,PHA,BPM
V_1:LS1_CA01:BPM_D1144:ENG_RD,18,2.07063368,0.0,V_1,LS1_CA01:BPM_D1144,readback,ENG,BPM
V_1:LS1_CA01:SOL2_D1147:B_CSET,21,2.30263718,0.1,V_1,LS1_CA01:SOL2_D1147,setpoint,B,SOL
V_1:LS1_CA01:SOL2_D1147:B_RSET,21,2.30263718,0.1,V_1,LS1_CA01:SOL2_D1147,readset,B,SOL
V_1:LS1_CA01:SOL2_D1147:B_RD,21,2.30263718,0.1,V_1,LS1_CA01:SOL2_D1147,readback,B,SOL
V_1:LS1_CA01:DCH_D1147:ANG_CSET,22,2.30263718,0.0,V_1,LS1_CA01:DCH_D1147,setpoint,ANG,HCOR
V_1:LS1_CA01:DCH_D1147:ANG_RSET,22,2.30263718,0.0,V_1,LS1_CA01:DCH_D1147,readset,ANG,HCOR
V_1:LS1_CA01:DCH_D1147:ANG_RD,22,2.30263718,0.0,V_1,LS1_CA01:DCH_D1147,readback,ANG,HCOR
V_1:LS1_CA01:DCV_D1147:ANG_CSET,23,2.30263718,0.0,V_1,LS1_CA01:DCV_D1147,setpoint,ANG,VCOR
V_1:LS1_CA01:DCV_D1147:ANG_RSET,23,2.30263718,0.0,V_1,LS1_CA01:DCV_D1147,readset,ANG,VCOR
V_1:LS1_CA01:DCV_D1147:ANG_RD,23,2.30263718,0.0,V_1,LS1_CA01:DCV_D1147,readback,ANG,VCOR
V_1:LS1_CA01:SOL2_D1147:B_CSET,24,2.40263718,0.1,V_1,LS1_CA01:SOL2_D1147,setpoint,B,SOL
V_1:LS1_CA01:SOL2_D1147:B_RSET,24,2.40263718,0.1,V_1,LS1_CA01:SOL2_D1147,readset,B,SOL
V_1:LS1_CA01:SOL2_D1147:B_RD,24,2.40263718,0.1,V_1,LS1_CA01:SOL2_D1147,readback,B,SOL
V_1:LS1_CA01:CAV4_D1150:PHA_CSET,27,2.78603118,0.24,V_1,LS1_CA01:CAV4_D1150,setpoint,PHA,CAV
V_1:LS1_CA01:CAV4_D1150:PHA_RSET,27,2.78603118,0.24,V_1,LS1_CA01:CAV4_D1150,readset,PHA,CAV
V_1:LS1_CA01:CAV4_D1150:PHA_RD,27,2.78603118,0.24,V_1,LS1_CA01:CAV4_D1150,readback,PHA,CAV
V_1:LS1_CA01:CAV4_D1150:AMPL_CSET,27,2.78603118,0.24,V_1,LS1_CA01:CAV4_D1150,setpoint,AMP,CAV
V_1:LS1_CA01:CAV4_D1150:AMPL_RSET,27,2.78603118,0.24,V_1,LS1_CA01:CAV4_D1150,readset,AMP,CAV
V_1:LS1_CA01:CAV4_D1150:AMPL_RD,27,2.78603118,0.24,V_1,LS1_CA01:CAV4_D1150,readback,AMP,CAV
V_1:LS1_WA01:BPM_D1155:X_RD,31,3.10909468,0.0,V_1,LS1_WA01:BPM_D1155,readback,X,BPM
V_1:LS1_WA01:BPM_D1155:Y_RD,31,3.10909468,0.0,V_1,LS1_WA01:BPM_D1155,readback,Y,BPM
V_1:LS1_WA01:BPM_D1155:PHA_RD,31,3.10909468,0.0,V_1,LS1_WA01:BPM_D1155,readback,PHA,BPM
V_1:LS1_WA01:BPM_D1155:ENG_RD,31,3.10909468,0.0,V_1,LS1_WA01:BPM_D1155,readback,ENG,BPM
V_1:LS1_CA02:CAV1_D1161:PHA_CSET,38,3.82015818,0.24,V_1,LS1_CA02:CAV1_D1161,setpoint,PHA,CAV
V_1:LS1_CA02:CAV1_D1161:PHA_RSET,38,3.82015818,0.24,V_1,LS1_CA02:CAV1_D1161,readset,PHA,CAV
V_1:LS1_CA02:CAV1_D1161:PHA_RD,38,3.82015818,0.24,V_1,LS1_CA02:CAV1_D1161,readback,PHA,CAV
V_1:LS1_CA02:CAV1_D1161:AMPL_CSET,38,3.82015818,0.24,V_1,LS1_CA02:CAV1_D1161,setpoint,AMP,CAV
V_1:LS1_CA02:CAV1_D1161:AMPL_RSET,38,3.82015818,0.24,V_1,LS1_CA02:CAV1_D1161,readset,AMP,CAV
V_1:LS1_CA02:CAV1_D1161:AMPL_RD,38,3.82015818,0.24,V_1,LS1_CA02:CAV1_D1161,readback,AMP,CAV
V_1:LS1_CA02:BPM_D1163:X_RD,40,3.88442152,0.0,V_1,LS1_CA02:BPM_D1163,readback,X,BPM
V_1:LS1_CA02:BPM_D1163:Y_RD,40,3.88442152,0.0,V_1,LS1_CA02:BPM_D1163,readback,Y,BPM
V_1:LS1_CA02:BPM_D1163:PHA_RD,40,3.88442152,0.0,V_1,LS1_CA02:BPM_D1163,readback,PHA,BPM
V_1:LS1_CA02:BPM_D1163:ENG_RD,40,3.88442152,0.0,V_1,LS1_CA02:BPM_D1163,readback,ENG,BPM
V_1:LS1_CA02:SOL1_D1165:B_CSET,43,4.11642502,0.1,V_1,LS1_CA02:SOL1_D1165,setpoint,B,SOL
V_1:LS1_CA02:SOL1_D1165:B_RSET,43,4.11642502,0.1,V_1,LS1_CA02:SOL1_D1165,readset,B,SOL
V_1:LS1_CA02:SOL1_D1165:B_RD,43,4.11642502,0.1,V_1,LS1_CA02:SOL1_D1165,readback,B,SOL
V_1:LS1_CA02:DCH_D1165:ANG_CSET,44,4.11642502,0.0,V_1,LS1_CA02:DCH_D1165,setpoint,ANG,HCOR
V_1:LS1_CA02:DCH_D1165:ANG_RSET,44,4.11642502,0.0,V_1,LS1_CA02:DCH_D1165,readset,ANG,HCOR
V_1:LS1_CA02:DCH_D1165:ANG_RD,44,4.11642502,0.0,V_1,LS1_CA02:DCH_D1165,readback,ANG,HCOR
V_1:LS1_CA02:DCV_D1165:ANG_CSET,45,4.11642502,0.0,V_1,LS1_CA02:DCV_D1165,setpoint,ANG,VCOR
V_1:LS1_CA02:DCV_D1165:ANG_RSET,45,4.11642502,0.0,V_1,LS1_CA02:DCV_D1165,readset,ANG,VCOR
V_1:LS1_CA02:DCV_D1165:ANG_RD,45,4.11642502,0.0,V_1,LS1_CA02:DCV_D1165,readback,ANG,VCOR
V_1:LS1_CA02:SOL1_D1165:B_CSET,46,4.21642502,0.1,V_1,LS1_CA02:SOL1_D1165,setpoint,B,SOL
V_1:LS1_CA02:SOL1_D1165:B_RSET,46,4.21642502,0.1,V_1,LS1_CA02:SOL1_D1165,readset,B,SOL
V_1:LS1_CA02:SOL1_D1165:B_RD,46,4.21642502,0.1,V_1,LS1_CA02:SOL1_D1165,readback,B,SOL
V_1:LS1_CA02:CAV2_D1169:PHA_CSET,49,4.59981902,0.24,V_1,LS1_CA02:CAV2_D1169,setpoint,PHA,CAV
V_1:LS1_CA02:CAV2_D1169:PHA_RSET,49,4.59981902,0.24,V_1,LS1_CA02:CAV2_D1169,readset,PHA,CAV
V_1:LS1_CA02:CAV2_D1169:PHA_RD,49,4.59981902,0.24,V_1,LS1_CA02:CAV2_D1169,readback,PHA,CAV
V_1:LS1_CA02:CAV2_D1169:AMPL_CSET,49,4.59981902,0.24,V_1,LS1_CA02:CAV2_D1169,setpoint,AMP,CAV
V_1:LS1_CA02:CAV2_D1169:AMPL_RSET,49,4.59981902,0.24,V_1,LS1_CA02:CAV2_D1169,readset,AMP,CAV
V_1:LS1_CA02:CAV2_D1169:AMPL_RD,49,4.59981902,0.24,V_1,LS1_CA02:CAV2_D1169,readback,AMP,CAV
V_1:LS1_CA02:CAV3_D1176:PHA_CSET,51,5.37946502,0.24,V_1,LS1_CA02:CAV3_D1176,setpoint,PHA,CAV
V_1:LS1_CA02:CAV3_D1176:PHA_RSET,51,5.37946502,0.24,V_1,LS1_CA02:CAV3_D1176,readset,PHA,CAV
V_1:LS1_CA02:CAV3_D1176:PHA_RD,51,5.37946502,0.24,V_1,LS1_CA02:CAV3_D1176,readback,PHA,CAV
V_1:LS1_CA02:CAV3_D1176:AMPL_CSET,51,5.37946502,0.24,V_1,LS1_CA02:CAV3_D1176,setpoint,AMP,CAV
V_1:LS1_CA02:CAV3_D1176:AMPL_RSET,51,5.37946502,0.24,V_1,LS1_CA02:CAV3_D1176,readset,AMP,CAV
V_1:LS1_CA02:CAV3_D1176:AMPL_RD,51,5.37946502,0.24,V_1,LS1_CA02:CAV3_D1176,readback,AMP,CAV
V_1:LS1_CA02:BPM_D1178:X_RD,53,5.44372836,0.0,V_1,LS1_CA02:BPM_D1178,readback,X,BPM
V_1:LS1_CA02:BPM_D1178:Y_RD,53,5.44372836,0.0,V_1,LS1_CA02:BPM_D1178,readback,Y,BPM
V_1:LS1_CA02:BPM_D1178:PHA_RD,53,5.44372836,0.0,V_1,LS1_CA02:BPM_D1178,readback,PHA,BPM
V_1:LS1_CA02:BPM_D1178:ENG_RD,53,5.44372836,0.0,V_1,LS1_CA02:BPM_D1178,readback,ENG,BPM
V_1:LS1_CA02:SOL2_D1180:B_CSET,56,5.67573186,0.1,V_1,LS1_CA02:SOL2_D1180,setpoint,B,SOL
V_1:LS1_CA02:SOL2_D1180:B_RSET,56,5.67573186,0.1,V_1,LS1_CA02:SOL2_D1180,readset,B,SOL
V_1:LS1_CA02:SOL2_D1180:B_RD,56,5.67573186,0.1,V_1,LS1_CA02:SOL2_D1180,readback,B,SOL
V_1:LS1_CA02:DCH_D1180:ANG_CSET,57,5.67573186,0.0,V_1,LS1_CA02:DCH_D1180,setpoint,ANG,HCOR
V_1:LS1_CA02:DCH_D1180:ANG_RSET,57,5.67573186,0.0,V_1,LS1_CA02:DCH_D1180,readset,ANG,HCOR
V_1:LS1_CA02:DCH_D1180:ANG_RD,57,5.67573186,0.0,V_1,LS1_CA02:DCH_D1180,readback,ANG,HCOR
V_1:LS1_CA02:DCV_D1180:ANG_CSET,58,5.67573186,0.0,V_1,LS1_CA02:DCV_D1180,setpoint,ANG,VCOR
V_1:LS1_CA02:DCV_D1180:ANG_RSET,58,5.67573186,0.0,V_1,LS1_CA02:DCV_D1180,readset,ANG,VCOR
V_1:LS1_CA02:DCV_D1180:ANG_RD,58,5.67573186,0.0,V_1,LS1_CA02:DCV_D1180,readback,ANG,VCOR
V_1:LS1_CA02:SOL2_D1180:B_CSET,59,5.77573186,0.1,V_1,LS1_CA02:SOL2_D1180,setpoint,B,SOL
V_1:LS1_CA02:SOL2_D1180:B_RSET,59,5.77573186,0.1,V_1,LS1_CA02:SOL2_D1180,readset,B,SOL
V_1:LS1_CA02:SOL2_D1180:B_RD,59,5.77573186,0.1,V_1,LS1_CA02:SOL2_D1180,readback,B,SOL
V_1:LS1_CA02:CAV4_D1184:PHA_CSET,62,6.15912586,0.24,V_1,LS1_CA02:CAV4_D1184,setpoint,PHA,CAV
V_1:LS1_CA02:CAV4_D1184:PHA_RSET,62,6.15912586,0.24,V_1,LS1_CA02:CAV4_D1184,readset,PHA,CAV
V_1:LS1_CA02:CAV4_D1184:PHA_RD,62,6.15912586,0.24,V_1,LS1_CA02:CAV4_D1184,readback,PHA,CAV
V_1:LS1_CA02:CAV4_D1184:AMPL_CSET,62,6.15912586,0.24,V_1,LS1_CA02:CAV4_D1184,setpoint,AMP,CAV
V_1:LS1_CA02:CAV4_D1184:AMPL_RSET,62,6.15912586,0.24,V_1,LS1_CA02:CAV4_D1184,readset,AMP,CAV
V_1:LS1_CA02:CAV4_D1184:AMPL_RD,62,6.15912586,0.24,V_1,LS1_CA02:CAV4_D1184,readback,AMP,CAV
V_1:LS1_WA02:BPM_D1189:X_RD,66,6.48218936,0.0,V_1,LS1_WA02:BPM_D1189,readback,X,BPM
V_1:LS1_WA02:BPM_D1189:Y_RD,66,6.48218936,0.0,V_1,LS1_WA02:BPM_D1189,readback,Y,BPM
V_1:LS1_WA02:BPM_D1189:PHA_RD,66,6.48218936,0.0,V_1,LS1_WA02:BPM_D1189,readback,PHA,BPM
V_1:LS1_WA02:BPM_D1189:ENG_RD,66,6.48218936,0.0,V_1,LS1_WA02:BPM_D1189,readback,ENG,BPM
V_1:LS1_CA03:CAV1_D1194:PHA_CSET,74,7.19325286,0.24,V_1,LS1_CA03:CAV1_D1194,setpoint,PHA,CAV
V_1:LS1_CA03:CAV1_D1194:PHA_RSET,74,7.19325286,0.24,V_1,LS1_CA03:CAV1_D1194,readset,PHA,CAV
V_1:LS1_CA03:CAV1_D1194:PHA_RD,74,7.19325286,0.24,V_1,LS1_CA03:CAV1_D1194,readback,PHA,CAV
V_1:LS1_CA03:CAV1_D1194:AMPL_CSET,74,7.19325286,0.24,V_1,LS1_CA03:CAV1_D1194,setpoint,AMP,CAV
V_1:LS1_CA03:CAV1_D1194:AMPL_RSET,74,7.19325286,0.24,V_1,LS1_CA03:CAV1_D1194,readset,AMP,CAV
V_1:LS1_CA03:CAV1_D1194:AMPL_RD,74,7.19325286,0.24,V_1,LS1_CA03:CAV1_D1194,readback,AMP,CAV
V_1:LS1_CA03:BPM_D1196:X_RD,76,7.2575162,0.0,V_1,LS1_CA03:BPM_D1196,readback,X,BPM
V_1:LS1_CA03:BPM_D1196:Y_RD,76,7.2575162,0.0,V_1,LS1_CA03:BPM_D1196,readback,Y,BPM
V_1:LS1_CA03:BPM_D1196:PHA_RD,76,7.2575162,0.0,V_1,LS1_CA03:BPM_D1196,readback,PHA,BPM
V_1:LS1_CA03:BPM_D1196:ENG_RD,76,7.2575162,0.0,V_1,LS1_CA03:BPM_D1196,readback,ENG,BPM
V_1:LS1_CA03:SOL1_D1199:B_CSET,79,7.4895197,0.1,V_1,LS1_CA03:SOL1_D1199,setpoint,B,SOL
V_1:LS1_CA03:SOL1_D1199:B_RSET,79,7.4895197,0.1,V_1,LS1_CA03:SOL1_D1199,readset,B,SOL
V_1:LS1_CA03:SOL1_D1199:B_RD,79,7.4895197,0.1,V_1,LS1_CA03:SOL1_D1199,readback,B,SOL
V_1:LS1_CA03:DCH_D1199:ANG_CSET,80,7.4895197,0.0,V_1,LS1_CA03:DCH_D1199,setpoint,ANG,HCOR
V_1:LS1_CA03:DCH_D1199:ANG_RSET,80,7.4895197,0.0,V_1,LS1_CA03:DCH_D1199,readset,ANG,HCOR
V_1:LS1_CA03:DCH_D1199:ANG_RD,80,7.4895197,0.0,V_1,LS1_CA03:DCH_D1199,readback,ANG,HCOR
V_1:LS1_CA03:DCV_D1199:ANG_CSET,81,7.4895197,0.0,V_1,LS1_CA03:DCV_D1199,setpoint,ANG,VCOR
V_1:LS1_CA03:DCV_D1199:ANG_RSET,81,7.4895197,0.0,V_1,LS1_CA03:DCV_D1199,readset,ANG,VCOR
V_1:LS1_CA03:DCV_D1199:ANG_RD,81,7.4895197,0.0,V_1,LS1_CA03:DCV_D1199,readback,ANG,VCOR
V_1:LS1_CA03:SOL1_D1199:B_CSET,82,7.5895197,0.1,V_1,LS1_CA03:SOL1_D1199,setpoint,B,SOL
V_1:LS1_CA03:SOL1_D1199:B_RSET,82,7.5895197,0.1,V_1,LS1_CA03:SOL1_D1199,readset,B,SOL
V_1:LS1_CA03:SOL1_D1199:B_RD,82,7.5895197,0.1,V_1,LS1_CA03:SOL1_D1199,readback,B,SOL
V_1:LS1_CA03:CAV2_D1202:PHA_CSET,85,7.9729137,0.24,V_1,LS1_CA03:CAV2_D1202,setpoint,PHA,CAV
V_1:LS1_CA03:CAV2_D1202:PHA_RSET,85,7.9729137,0.24,V_1,LS1_CA03:CAV2_D1202,readset,PHA,CAV
V_1:LS1_CA03:CAV2_D1202:PHA_RD,85,7.9729137,0.24,V_1,LS1_CA03:CAV2_D1202,readback,PHA,CAV
V_1:LS1_CA03:CAV2_D1202:AMPL_CSET,85,7.9729137,0.24,V_1,LS1_CA03:CAV2_D1202,setpoint,AMP,CAV
V_1:LS1_CA03:CAV2_D1202:AMPL_RSET,85,7.9729137,0.24,V_1,LS1_CA03:CAV2_D1202,readset,AMP,CAV
V_1:LS1_CA03:CAV2_D1202:AMPL_RD,85,7.9729137,0.24,V_1,LS1_CA03:CAV2_D1202,readback,AMP,CAV
V_1:LS1_CA03:CAV3_D1210:PHA_CSET,87,8.7525597,0.24,V_1,LS1_CA03:CAV3_D1210,setpoint,PHA,CAV
V_1:LS1_CA03:CAV3_D1210:PHA_RSET,87,8.7525597,0.24,V_1,LS1_CA03:CAV3_D1210,readset,PHA,CAV
V_1:LS1_CA03:CAV3_D1210:PHA_RD,87,8.7525597,0.24,V_1,LS1_CA03:CAV3_D1210,readback,PHA,CAV
V_1:LS1_CA03:CAV3_D1210:AMPL_CSET,87,8.7525597,0.24,V_1,LS1_CA03:CAV3_D1210,setpoint,AMP,CAV
V_1:LS1_CA03:CAV3_D1210:AMPL_RSET,87,8.7525597,0.24,V_1,LS1_CA03:CAV3_D1210,readset,AMP,CAV
V_1:LS1_CA03:CAV3_D1210:AMPL_RD,87,8.7525597,0.24,V_1,LS1_CA03:CAV3_D1210,readback,AMP,CAV
V_1:LS1_CA03:BPM_D1212:X_RD,89,8.81682304,0.0,V_1,LS1_CA03:BPM_D1212,readback,X,BPM
V_1:LS1_CA03:BPM_D1212:Y_RD,89,8.81682304,0.0,V_1,LS1_CA03:BPM_D1212,readback,Y,BPM
V_1:LS1_CA03:BPM_D1212:PHA_RD,89,8.81682304,0.0,V_1,LS1_CA03:BPM_D1212,readback,PHA,BPM
V_1:LS1_CA03:BPM_D1212:ENG_RD,89,8.81682304,0.0,V_1,LS1_CA03:BPM_D1212,readback,ENG,BPM
V_1:LS1_CA03:SOL2_D1214:B_CSET,92,9.04882654,0.1,V_1,LS1_CA03:SOL2_D1214,setpoint,B,SOL
V_1:LS1_CA03:SOL2_D1214:B_RSET,92,9.04882654,0.1,V_1,LS1_CA03:SOL2_D1214,readset,B,SOL
V_1:LS1_CA03:SOL2_D1214:B_RD,92,9.04882654,0.1,V_1,LS1_CA03:SOL2_D1214,readback,B,SOL
V_1:LS1_CA03:DCH_D1214:ANG_CSET,93,9.04882654,0.0,V_1,LS1_CA03:DCH_D1214,setpoint,ANG,HCOR
V_1:LS1_CA03:DCH_D1214:ANG_RSET,93,9.04882654,0.0,V_1,LS1_CA03:DCH_D1214,readset,ANG,HCOR
V_1:LS1_CA03:DCH_D1214:ANG_RD,93,9.04882654,0.0,V_1,LS1_CA03:DCH_D1214,readback,ANG,HCOR
V_1:LS1_CA03:DCV_D1214:ANG_CSET,94,9.04882654,0.0,V_1,LS1_CA03:DCV_D1214,setpoint,ANG,VCOR
V_1:LS1_CA03:DCV_D1214:ANG_RSET,94,9.04882654,0.0,V_1,LS1_CA03:DCV_D1214,readset,ANG,VCOR
V_1:LS1_CA03:DCV_D1214:ANG_RD,94,9.04882654,0.0,V_1,LS1_CA03:DCV_D1214,readback,ANG,VCOR
V_1:LS1_CA03:SOL2_D1214:B_CSET,95,9.14882654,0.1,V_1,LS1_CA03:SOL2_D1214,setpoint,B,SOL
V_1:LS1_CA03:SOL2_D1214:B_RSET,95,9.14882654,0.1,V_1,LS1_CA03:SOL2_D1214,readset,B,SOL
V_1:LS1_CA03:SOL2_D1214:B_RD,95,9.14882654,0.1,V_1,LS1_CA03:SOL2_D1214,readback,B,SOL
V_1:LS1_CA03:CAV4_D1218:PHA_CSET,98,9.53222054,0.24,V_1,LS1_CA03:CAV4_D1218,setpoint,PHA,CAV
V_1:LS1_CA03:CAV4_D1218:PHA_RSET,98,9.53222054,0.24,V_1,LS1_CA03:CAV4_D1218,readset,PHA,CAV
V_1:LS1_CA03:CAV4_D1218:PHA_RD,98,9.53222054,0.24,V_1,LS1_CA03:CAV4_D1218,readback,PHA,CAV
V_1:LS1_CA03:CAV4_D1218:AMPL_CSET,98,9.53222054,0.24,V_1,LS1_CA03:CAV4_D1218,setpoint,AMP,CAV
V_1:LS1_CA03:CAV4_D1218:AMPL_RSET,98,9.53222054,0.24,V_1,LS1_CA03:CAV4_D1218,readset,AMP,CAV
V_1:LS1_CA03:CAV4_D1218:AMPL_RD,98,9.53222054,0.24,V_1,LS1_CA03:CAV4_D1218,readback,AMP,CAV
V_1:LS1_WA03:BPM_D1222:X_RD,102,9.85528404,0.0,V_1,LS1_WA03:BPM_D1222,readback,X,BPM
V_1:LS1_WA03:BPM_D1222:Y_RD,102,9.85528404,0.0,V_1,LS1_WA03:BPM_D1222,readback,Y,BPM
V_1:LS1_WA03:BPM_D1222:PHA_RD,102,9.85528404,0.0,V_1,LS1_WA03:BPM_D1222,readback,PHA,BPM
V_1:LS1_WA03:BPM_D1222:ENG_RD,102,9.85528404,0.0,V_1,LS1_WA03:BPM_D1222,readback,ENG,BPM
V_1:LS1_WA03:PM_D1223:X_RD,104,9.92928404,0.0,V_1,LS1_WA03:PM_D1223,readback,X,PM
V_1:LS1_WA03:PM_D1223:Y_RD,104,9.92928404,0.0,V_1,LS1_WA03:PM_D1223,readback,Y,PM
V_1:LS1_WA03:PM_D1223:XRMS_RD,104,9.92928404,0.0,V_1,LS1_WA03:PM_D1223,readback,XRMS,PM
V_1:LS1_WA03:PM_D1223:YRMS_RD,104,9.92928404,0.0,V_1,LS1_WA03:PM_D1223,readback,YRMS,PM
V_1:LS1_CB01:CAV1_D1229:PHA_CSET,110,10.66659554,0.3,V_1,LS1_CB01:CAV1_D1229,setpoint,PHA,CAV
V_1:LS1_CB01:CAV1_D1229:PHA_RSET,110,10.66659554,0.3,V_1,LS1_CB01:CAV1_D1229,readset,PHA,CAV
V_1:LS1_CB01:CAV1_D1229:PHA_RD,110,10.66659554,0.3,V_1,LS1_CB01:CAV1_D1229,readback,PHA,CAV
V_1:LS1_CB01:CAV1_D1229:AMPL_CSET,110,10.66659554,0.3,V_1,LS1_CB01:CAV1_D1229,setpoint,AMP,CAV
V_1:LS1_CB01:CAV1_D1229:AMPL_RSET,110,10.66659554,0.3,V_1,LS1_CB01:CAV1_D1229,readset,AMP,CAV
V_1:LS1_CB01:CAV1_D1229:AMPL_RD,110,10.66659554,0.3,V_1,LS1_CB01:CAV1_D1229,readback,AMP,CAV
V_1:LS1_CB01:BPM_D1231:X_RD,112,10.76219088,0.0,V_1,LS1_CB01:BPM_D1231,readback,X,BPM
V_1:LS1_CB01:BPM_D1231:Y_RD,112,10.76219088,0.0,V_1,LS1_CB01:BPM_D1231,readback,Y,BPM
V_1:LS1_CB01:BPM_D1231:PHA_RD,112,10.76219088,0.0,V_1,LS1_CB01:BPM_D1231,readback,PHA,BPM
V_1:LS1_CB01:BPM_D1231:ENG_RD,112,10.76219088,0.0,V_1,LS1_CB01:BPM_D1231,readback,ENG,BPM
V_1:LS1_CB01:SOL1_D1235:B_CSET,115,11.14420688,0.25,V_1,LS1_CB01:SOL1_D1235,setpoint,B,SOL
