PV,elemField,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType
VA:LS1_CA01:CAV2_D1136:AMPL_RSET,AMP,readset,10,0.24,LS1_CA01:CAV2_D1136,1.081683,CAV,VA,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,phantasy.LINAC
VA:LS1_CA01:CAV2_D1136:AMPL_RD,AMP,readback,10,0.24,LS1_CA01:CAV2_D1136,1.081683,CAV,VA,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,phantasy.LINAC
VA:LS1_CA01:CAV3_D1142:PHA_CSET,PHA,setpoint,12,0.24,LS1_CA01:CAV3_D1142,1.715239,CAV,VA,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,phantasy.LINAC
VA:LS1_CA01:CAV3_D1142:PHA_RSET,PHA,readset,12,0.24,LS1_CA01:CAV3_D1142,1.715239,CAV,VA,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,phantasy.LINAC
VA:LS1_CA01:CAV3_D1142:PHA_RD,PHA,readback,12,0.24,LS1_CA01:CAV3_D1142,1.715239,CAV,VA,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,phantasy.LINAC
VA:LS1_CA01:CAV3_D1142:AMPL_CSET,AMP,setpoint,12,0.24,LS1_CA01:CAV3_D1142,1.715239,CAV,VA,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,phantasy.LINAC
VA:LS1_CA01:CAV3_D1142:AMPL_RSET,AMP,readset,12,0.24,LS1_CA01:CAV3_D1142,1.715239,CAV,VA,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,phantasy.LINAC
VA:LS1_CA01:CAV3_D1142:AMPL_RD,AMP,readback,12,0.24,LS1_CA01:CAV3_D1142,1.715239,CAV,VA,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,phantasy.LINAC
VA:LS1_CA01:BPM_D1144:X_RD,X,readback,15,0.0,LS1_CA01:BPM_D1144,1.7834305,BPM,VA,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA01,phantasy.LINAC
VA:LS1_CA01:BPM_D1144:Y_RD,Y,readback,15,0.0,LS1_CA01:BPM_D1144,1.7834305,BPM,VA,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA01,phantasy.LINAC
