2017-02-06 12:02:20 [ model ] set LS1_CA03:DCH_D1199:ANG             with     1.929447e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CA03:DCV_D1199:ANG             with    -6.580949e-05 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CA03:CAV2_D1202:PHA            with    -3.500000e+01 which was    -3.500000e+01
2017-02-06 12:02:20 [ model ] set LS1_CA03:CAV2_D1202:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CA03:CAV2_D1202:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CA03:CAV3_D1210:PHA            with    -3.500000e+01 which was    -3.500000e+01
2017-02-06 12:02:20 [ model ] set LS1_CA03:CAV3_D1210:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CA03:CAV3_D1210:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CA03:SOL2_D1214:B              with     7.700000e+00 which was     7.700000e+00
2017-02-06 12:02:20 [ model ] set LS1_CA03:DCH_D1214:ANG             with     2.075507e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CA03:DCV_D1214:ANG             with     1.047294e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CA03:CAV4_D1218:PHA            with    -4.500000e+01 which was    -4.500000e+01
2017-02-06 12:02:20 [ model ] set LS1_CA03:CAV4_D1218:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CA03:CAV4_D1218:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV1_D1229:PHA            with    -4.000000e+01 which was    -4.000000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV1_D1229:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV1_D1229:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB01:SOL1_D1235:B              with     5.000000e+00 which was     5.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:DCH_D1235:ANG             with     3.273690e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:DCV_D1235:ANG             with     4.500022e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV2_D1241:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV2_D1241:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV2_D1241:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV3_D1245:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV3_D1245:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV3_D1245:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV4_D1249:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV4_D1249:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV4_D1249:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB01:SOL2_D1255:B              with     5.200000e+00 which was     5.200000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:DCH_D1255:ANG             with    -1.368479e-05 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:DCV_D1255:ANG             with     3.641312e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV5_D1261:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV5_D1261:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV5_D1261:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV6_D1265:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV6_D1265:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV6_D1265:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV7_D1269:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV7_D1269:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV7_D1269:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB01:SOL3_D1275:B              with     5.100000e+00 which was     5.100000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:DCH_D1275:ANG             with    -1.078275e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:DCV_D1275:ANG             with     5.825962e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV8_D1281:PHA            with    -4.000000e+01 which was    -4.000000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV8_D1281:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB01:CAV8_D1281:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV1_D1293:PHA            with    -4.000000e+01 which was    -4.000000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV1_D1293:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV1_D1293:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB02:SOL1_D1299:B              with     5.000000e+00 which was     5.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:DCH_D1299:ANG             with    -1.415806e-05 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:DCV_D1299:ANG             with     5.730159e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV2_D1305:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV2_D1305:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV2_D1305:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV3_D1309:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV3_D1309:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV3_D1309:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV4_D1313:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV4_D1313:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV4_D1313:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB02:SOL2_D1319:B              with     4.900000e+00 which was     4.900000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:DCH_D1319:ANG             with     3.845663e-05 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:DCV_D1319:ANG             with     4.904613e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV5_D1325:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV5_D1325:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV5_D1325:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV6_D1329:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV6_D1329:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV6_D1329:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV7_D1333:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV7_D1333:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV7_D1333:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB02:SOL3_D1339:B              with     5.510000e+00 which was     5.510000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:DCH_D1339:ANG             with     1.407341e-05 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:DCV_D1339:ANG             with     4.321540e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV8_D1345:PHA            with    -4.000000e+01 which was    -4.000000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV8_D1345:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB02:CAV8_D1345:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV1_D1356:PHA            with    -4.000000e+01 which was    -4.000000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV1_D1356:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV1_D1356:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB03:SOL1_D1363:B              with     5.560000e+00 which was     5.560000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:DCH_D1363:ANG             with    -4.877576e-05 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:DCV_D1363:ANG             with     3.914488e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV2_D1368:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV2_D1368:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV2_D1368:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV3_D1372:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV3_D1372:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV3_D1372:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV4_D1376:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV4_D1376:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV4_D1376:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB03:SOL2_D1383:B              with     5.300000e+00 which was     5.300000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:DCH_D1383:ANG             with    -6.351166e-06 which was     0.000000e+00
