PV,elemField,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine
V2:LS1_CA01:CAV3_D1143:PHA_RSET,PHA,readset,14,0.24,LS1_CA01:CAV3_D1143,2.00637034,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:CAV3_D1143:PHA_RD,PHA,readback,14,0.24,LS1_CA01:CAV3_D1143,2.00637034,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:CAV3_D1143:AMPL_CSET,AMP,setpoint,14,0.24,LS1_CA01:CAV3_D1143,2.00637034,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:CAV3_D1143:AMPL_RSET,AMP,readset,14,0.24,LS1_CA01:CAV3_D1143,2.00637034,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:CAV3_D1143:AMPL_RD,AMP,readback,14,0.24,LS1_CA01:CAV3_D1143,2.00637034,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:BPM_D1144:X_RD,X,readback,17,0.0,LS1_CA01:BPM_D1144,2.07063368,BPM,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:BPM_D1144:Y_RD,Y,readback,17,0.0,LS1_CA01:BPM_D1144,2.07063368,BPM,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:BPM_D1144:PHA_RD,PHA,readback,17,0.0,LS1_CA01:BPM_D1144,2.07063368,BPM,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:BPM_D1144:ENG_RD,ENG,readback,17,0.0,LS1_CA01:BPM_D1144,2.07063368,BPM,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:SOL2_D1147:B_CSET,B,setpoint,20,0.2,LS1_CA01:SOL2_D1147,2.40263718,SOL,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:SOL2_D1147:B_RSET,B,readset,20,0.2,LS1_CA01:SOL2_D1147,2.40263718,SOL,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:SOL2_D1147:B_RD,B,readback,20,0.2,LS1_CA01:SOL2_D1147,2.40263718,SOL,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:DCH_D1147:ANG_CSET,ANG,setpoint,20,0.0,LS1_CA01:DCH_D1147,2.30263718,HCOR,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:DCH_D1147:ANG_RSET,ANG,readset,20,0.0,LS1_CA01:DCH_D1147,2.30263718,HCOR,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:DCH_D1147:ANG_RD,ANG,readback,20,0.0,LS1_CA01:DCH_D1147,2.30263718,HCOR,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:DCV_D1147:ANG_CSET,ANG,setpoint,20,0.0,LS1_CA01:DCV_D1147,2.30263718,VCOR,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:DCV_D1147:ANG_RSET,ANG,readset,20,0.0,LS1_CA01:DCV_D1147,2.30263718,VCOR,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:DCV_D1147:ANG_RD,ANG,readback,20,0.0,LS1_CA01:DCV_D1147,2.30263718,VCOR,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:CAV4_D1150:PHA_CSET,PHA,setpoint,23,0.24,LS1_CA01:CAV4_D1150,2.78603118,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:CAV4_D1150:PHA_RSET,PHA,readset,23,0.24,LS1_CA01:CAV4_D1150,2.78603118,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
