PV,elemField,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType
FE_SCS1:QE_D0743:V_RSET,V,readset,25,0.2,FE_SCS1:QHE_D0743,3.63,EQUAD,LIVE,ES_quad_X,QUAD_Q7,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0743:V_RD,V,readback,25,0.2,FE_SCS1:QHE_D0743,3.63,EQUAD,LIVE,ES_quad_X,QUAD_Q7,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0746:V_CSET,V,setpoint,27,0.2,FE_SCS1:QVE_D0746,3.965,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0746:V_RSET,V,readset,27,0.2,FE_SCS1:QVE_D0746,3.965,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0746:V_RD,V,readback,27,0.2,FE_SCS1:QVE_D0746,3.965,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0749:V_CSET,V,setpoint,29,0.2,FE_SCS1:QHE_D0749,4.3,EQUAD,LIVE,ES_quad_X,QUAD_Q7,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0749:V_RSET,V,readset,29,0.2,FE_SCS1:QHE_D0749,4.3,EQUAD,LIVE,ES_quad_X,QUAD_Q7,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0749:V_RD,V,readback,29,0.2,FE_SCS1:QHE_D0749,4.3,EQUAD,LIVE,ES_quad_X,QUAD_Q7,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_LEBT:DH_D0759:I_CSET,B,setpoint,33,1.0,FE_LEBT:DH_D0759,5.65,BEND,LIVE,"dipole-90deg, D5-2",BEND_D5,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:DH_D0759:I_RSET,B,readset,33,1.0,FE_LEBT:DH_D0759,5.65,BEND,LIVE,"dipole-90deg, D5-2",BEND_D5,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:DH_D0759:I_RD,B,readback,33,1.0,FE_LEBT:DH_D0759,5.65,BEND,LIVE,"dipole-90deg, D5-2",BEND_D5,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
